zero,one,two,three,four,five,six,seven
1,2,4,8,16,32,64,128 
2,4,8,16,32,64,128,256 
3,6,12,24,48,96,192,384 
4,8,16,32,64,128,256,512 
5,10,20,40,80,160,320,640 
6,12,24,48,96,192,384,768 
7,14,28,56,112,224,448,896 
8,16,32,64,128,256,512,1024 
9,18,36,72,144,288,576,1152 
10,20,40,80,160,320,640,1280 
11,22,44,88,176,352,704,1408 
12,24,48,96,192,384,768,1536 
13,26,52,104,208,416,832,1664 
14,28,56,112,224,448,896,1792 
15,30,60,120,240,480,960,1920 
16,32,64,128,256,512,1024,2048 
17,34,68,136,272,544,1088,2176 
18,36,72,144,288,576,1152,2304 
19,38,76,152,304,608,1216,2432 
20,40,80,160,320,640,1280,2560 
21,42,84,168,336,672,1344,2688 
22,44,88,176,352,704,1408,2816 
23,46,92,184,368,736,1472,2944 
24,48,96,192,384,768,1536,3072 
25,50,100,200,400,800,1600,3200 
26,52,104,208,416,832,1664,3328 
27,54,108,216,432,864,1728,3456 
28,56,112,224,448,896,1792,3584 
29,58,116,232,464,928,1856,3712 
30,60,120,240,480,960,1920,3840 
31,62,124,248,496,992,1984,3968 
32,64,128,256,512,1024,2048,4096 
33,66,132,264,528,1056,2112,4224 
34,68,136,272,544,1088,2176,4352 
35,70,140,280,560,1120,2240,4480 
36,72,144,288,576,1152,2304,4608 
37,74,148,296,592,1184,2368,4736 
38,76,152,304,608,1216,2432,4864 
39,78,156,312,624,1248,2496,4992 
40,80,160,320,640,1280,2560,5120 
41,82,164,328,656,1312,2624,5248 
42,84,168,336,672,1344,2688,5376 
43,86,172,344,688,1376,2752,5504 
44,88,176,352,704,1408,2816,5632 
45,90,180,360,720,1440,2880,5760 
46,92,184,368,736,1472,2944,5888 
47,94,188,376,752,1504,3008,6016 
48,96,192,384,768,1536,3072,6144 
49,98,196,392,784,1568,3136,6272 
50,100,200,400,800,1600,3200,6400 
51,102,204,408,816,1632,3264,6528 
52,104,208,416,832,1664,3328,6656 
53,106,212,424,848,1696,3392,6784 
54,108,216,432,864,1728,3456,6912 
55,110,220,440,880,1760,3520,7040 
56,112,224,448,896,1792,3584,7168 
57,114,228,456,912,1824,3648,7296 
58,116,232,464,928,1856,3712,7424 
59,118,236,472,944,1888,3776,7552 
60,120,240,480,960,1920,3840,7680 
61,122,244,488,976,1952,3904,7808 
62,124,248,496,992,1984,3968,7936 
63,126,252,504,1008,2016,4032,8064 
